nome
Sem equipamento
Balaio
Balde
Banca
Cadeira
Carrinho
Carro
Estande padronizado
Feira
Grade
Quiosque
Sacola
Taboleiro
Tonel
Trailer
Caixa de isopor
Barraca
Plantas
maquina de sorvete
Pedra de marmore
Telão
Panela
Tripé
Tenda
TENDA
